Book,Author,Frequency,Genres,Length,Rating,Year_Published,Year_Read,Emotion,Series
Before the Devil Breaks You,Libba Bray,1,"Fantasy, Young Adult, Historical Fiction, Paranormal, Mystery, Fiction",552,4.75,2017,2017,Anticipation,"The Diviners, #3"
The Cuckoo's Calling,Robert Galbraith,1,"Mystery, Fiction, Crime, Thriller, Detective, Adult, Contemporary",456,4.25,2013,2019,Surprise,"Coroman Strike, #1"
Turtles All the Way Down,John Green,1,"Young Adult, Fiction, Contemporary, Mental Health, Romance",290,4.75,2017,2018,Nostalgia,
The Murder of Roger Ackroyd ,Agatha Christie,1,"Mystery, Fiction, Classics, Crime, Detective, Thriller",288,4.5,2006,2015,Surprise,"Hercule Poirot, #4"
Air Awakens,Elise Kova,1,"Fantasy, Young Adult, Romance, Magic, Fiction, Paranormal",342,3.5,2015,2018,Excitement,"Air Awakens, #1"
Fire Falling,Elise Kova,1,"Fantasy, Young Adult, Romance, Magic, Fiction, Paranormal",378,3.25,2015,2018,Excitement,"Air Awakens, #2"
Earth's End,Elise Kova,1,"Fantasy, Young Adult, Romance, Magic, Fiction, Paranormal",350,3.25,2016,2018,Indifference,"Air Awakens, #3"
Water's Wraith,Elise Kova,1,"Fantasy, Young Adult, Romance, Magic, Fiction, Paranormal",378,3.5,2016,2018,Indifference,"Air Awakens, #4"
Crystal Crowned,Elise Kova,1,"Fantasy, Young Adult, Romance, Magic, Fiction, Paranormal",400,3.25,2016,2018,Anticipation,"Air Awakens, #5"
Renegades,Marissa Meyer,1,"Young Adult, Romance, Dystopia, Science Fiction, Superhereos",552,3.75,2017,2019,Anticipation,"Renegades, #1"
Cinder,Marissa Meyer,1,"Young Adult, Science Fiction, Romance, Dystopia, Retellings",400,3.5,2012,2018,Excitement,"The Lunar Chronicles, #1"
Scarlet,Marissa Meyer,1,"Young Adult, Science Fiction, Romance, Dystopia, Retellings",454,3.25,2013,2018,Excitement,"The Lunar Chronicles, #2"
Cress,Marissa Meyer,1,"Young Adult, Science Fiction, Romance, Dystopia, Retellings",566,3.25,2014,2018,Indifference,"The Lunar Chronicles, #3"
Winter,Marissa Meyer,1,"Young Adult, Science Fiction, Romance, Dystopia, Retellings",838,3,2015,2018,Indifference,"The Lunar Chronicles, #4"
Harry Potter and the Philosopher's Stone,J.K. Rowling,6,"Young Adult, Middle Grade, Adventure, Fantasy, Magic, Paranormal",223,4,1997,2016,Surprise,"Harry Potter, #1"
Harry Potter and the Chamber of Street,J.K. Rowling,6,"Young Adult, Middle Grade, Adventure, Fantasy, Magic, Paranormal",341,4.25,1998,2016,Fear,"Harry Potter, #2"
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,6,"Young Adult, Middle Grade, Adventure, Fantasy, Magic, Paranormal",435,4.5,1999,2016,Despair,"Harry Potter, #3"
Harry Potter and the Goblet of Fire,J.K. Rowling,6,"Young Adult, Middle Grade, Adventure, Fantasy, Magic, Paranormal",734,4.75,2000,2016,Confusion,"Harry Potter, #4"
Harry Potter and the Order of The Phoenix,J.K. Rowling,6,"Young Adult, Middle Grade, Adventure, Fantasy, Magic, Paranormal",912,5,2003,2016,Loss,"Harry Potter, #5"
Harry Potter and the Half-Blood Prince,J.K. Rowling,6,"Young Adult, Middle Grade, Adventure, Fantasy, Magic, Paranormal",652,4,2005,2016,Outrage,"Harry Potter, #6"
Harry Potter and the Deathly Hallows,J.K. Rowling,6,"Young Adult, Middle Grade, Adventure, Fantasy, Magic, Paranormal",759,5,2007,2016,Relief,"Harry Potter, #7"
The Unbecoming of Mara Dyer,Michelle Hodkin,1,"Young Adult, Mystery, Paranormal, Romance, Fiction, Contemporary, Horror",456,3.25,2011,2018,Excitement,"Mara Dyer, #1"
Night School,C.J. Daughtery,3,"Young Adult, Mystery, Romance, Thriller, Boarding School",454,4.25,2012,2015,Excitement,"Night School, #1"
Legacy,C.J. Daughtery,3,"Young Adult, Mystery, Romance, Thriller, Boarding School",385,4,2013,2015,Amorous,"Night School, #2"
Fracture,C.J. Daughtery,3,"Young Adult, Mystery, Romance, Thriller, Boarding School",374,4,2013,2015,Excitement,"Night School, #3"
Resistance,C.J. Daughtery,3,"Young Adult, Mystery, Romance, Thriller, Boarding School",393,4.5,2014,2015,Anticipation,"Night School, #4"
Endgame,C.J. Daughtery,3,"Young Adult, Mystery, Romance, Thriller, Boarding School",375,4.25,2015,2015,Anticipation,"Night School, #5 "
Fantastic Beasts and Where to Find Them,J.K. Rowling,2,"Fantasy, Fiction, Young Adult, Magic, Screenplay, Adventure, Historical Fiction",293,4.5,2016,2016,Excitement,"Fantastic Beasts, #1"
