Title,Author,Length,Rating,Date Published,Date Read,Date Added,Read Count,ISBN13 Number,Amazon Standard Identification Number,Goodreads Number,Review,Cover Image
"The Hunger Games (The Hunger Games, #1)","Collins, Suzanne",374pp,5,"Sep 14, 2008",Date Read Not Set,"May 21, 2016",1,9780439023481,0439023483,2767052,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975l/2767052._SX50_.jpg
The Fault in Our Stars,"Green, John*",313pp,5,"Jan 10, 2012",Date Read Not Set,"May 21, 2016",1,,,11870085,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660273739l/11870085._SX50_.jpg
"Divergent (Divergent, #1)","Roth, Veronica*",487pp,5,"Apr 25, 2011",Date Read Not Set,"May 21, 2016",1,9780062024039,0062024035,13335037,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618526890l/13335037._SY75_.jpg
"Twilight (The Twilight Saga, #1)","Meyer, Stephenie",498pp,2,"Oct 05, 2005",Date Read Not Set,"May 21, 2016",1,9780316015844,0316015849,41865,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1700522826l/41865._SY75_.jpg
"City of Bones (The Mortal Instruments, #1)","Clare, Cassandra*",485pp,3,"Mar 27, 2007",Date Read Not Set,"May 21, 2016",1,9781416914280,1416914285,256683,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730315l/256683._SY75_.jpg
"The Maze Runner (The Maze Runner, #1)","Dashner, James*",384pp,4,"Oct 06, 2009",Date Read Not Set,"May 21, 2016",1,9780385737944,0385737947,6186357,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375596592l/6186357._SY75_.jpg
"Clockwork Angel (The Infernal Devices, #1)","Clare, Cassandra*",479pp,5,"Aug 31, 2010",Date Read Not Set,"May 21, 2016",1,9781416975861,,7171637,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1693490271l/7171637._SY75_.jpg
"The Selection (The Selection, #1)","Cass, Kiera*",336pp,4,"Apr 24, 2012",Date Read Not Set,"May 21, 2016",1,9780062059932,B00BG7DY04,10507293,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322103400l/10507293._SY75_.jpg
"Legend (Legend, #1)","Lu, Marie*",305pp,4,"Nov 29, 2011",Date Read Not Set,"May 21, 2016",1,,,9275658,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1501368160l/9275658._SY75_.jpg
"The Lightning Thief (Percy Jackson and the Olympians, #1)","Riordan, Rick*",377pp,4,"Jul 28, 2005",Date Read Not Set,"May 21, 2016",1,,,28187,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602609l/28187._SY75_.jpg
"Throne of Glass (Throne of Glass, #1)","Maas, Sarah J.*",406pp,4,"Aug 07, 2012",Date Read Not Set,"May 21, 2016",1,,,7896527,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495278054l/7896527._SY75_.jpg
"Fallen (Fallen, #1)","Kate, Lauren*",464pp,1,"Dec 08, 2009",Date Read Not Set,"May 21, 2016",1,9780385738934,0385738935,6487308,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440619649l/6487308._SY75_.jpg
"Vampire Academy (Vampire Academy, #1)","Mead, Richelle*",332pp,2,"Aug 16, 2007",Date Read Not Set,"May 21, 2016",1,,,18660669,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381459853l/18660669._SY75_.jpg
"Obsidian (Lux, #1)","Armentrout, Jennifer L.*",335pp,5,"Nov 29, 2011",Date Read Not Set,"May 21, 2016",1,,,12578077,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328275091l/12578077._SY75_.jpg
"Perfect Chemistry (Perfect Chemistry, #1)","Elkeles, Simone*",368pp,2,"Dec 23, 2008",Date Read Not Set,"May 21, 2016",1,9780802798237,0802798233,4268157,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439792475l/4268157._SX50_.jpg
